"ID","UniprotAccession"
"EFS_246_258","O43281"
"FRK_380_392","P42685"
"ART_004_EAIYAAPFAKKKXC","NA"
"PLCG1_764_776","P19174"
"PAXI_111_123","P49023"
"RET_1022_1034","P07949"
"PECA1_706_718","P16284"
"RASA1_453_465","P20936"
"CDK1_9_21","P06493"
"PTN11_57_67","Q06124"
"PTN6_558_570","P29350"
"EPOR_361_373","P19235"
"CD3E_182_194","P07766"
"EPHA7_607_619","Q15375"
"PECA1_708_718","P16284"
"ZAP70_313_325","P43403"
"PLCG2_1191_1203_C1200S","P16885"
"PGFRB_572_584","P09619"
"CD3Z_105_117","P20963"
"PGFRB_1014_1028","P09619"
"CD3Z_77_89","P20963"
"ERBB2_1241_1253","P04626"
"TEC_512_524","P42680"
"JAK2_563_577","O60674"
"RAF1_332_344","P04049"
"PGFRB_1002_1014","P09619"
"MET_1228_1240","P08581"
"FER_707_719","P16591"
"PTN6_531_541","P29350"
"HAVR2_257_267_G257K","Q8TDQ0"
"CD3Z_117_129","P20963"
"KSYK_518_530","P43405"
"MK12_178_190","P53778"
"ODBA_340_352_D340K","P12694"
"GAB1_622_632","Q13480"
"MUSK_548_560","O15146"
"MK14_173_185","Q16539"
"VGFR1_1235_1247","P17948"
"MK10_216_228","P53779"
"RB_804_816","P06400"
"ERBB2_870_882","P04626"
"IRS2_626_638","Q9Y4H2"
"ENOG_37_49","P09104"
"PDPK1_369_381","O15530"
"FGFR2_762_774","P21802"
"ACHD_383_395","Q07001"
"AMPE_5_17","Q07075"
"B3AT_39_51","P02730"
"C1R_199_211","P00736"
"CALM_93_105","P0DP23"
"CALM_95_107","P0DP23"
"CDK7_157_169","P50613"
"CRK_214_226","P46108"
"DDR1_506_518","Q08345"
"PRGR_786_798","P06401"
"EPHA1_774_786","P21709"
"CD79A_181_193","P11912"
"ANXA1_14_26","P04083"
"EGFR_1165_1177","P00533"
"DYR1A_212_224","Q13627"
"EGFR_1062_1074","P00533"
"EGFR_1118_1130","P00533"
"EGFR_1190_1202","P00533"
"EGFR_862_874","P00533"
"EGFR_908_920","P00533"
"EPHA2_581_593","P29317"
"EPHA4_589_601","P54764"
"EPHA4_921_933","P54764"
"CBL_693_705","P22681"
"EPHB1_771_783","P54762"
"P85A_600_612","P27986"
"FGFR3_753_765","P22607"
"ERBB4_1277_1289","Q15303"
"EPHB1_921_933","P54762"
"EPHB4_583_595","P54760"
"ERBB4_1181_1193","Q15303"
"EFS_246_258_Y253F","O43281"
"FABPH_13_25","P05413"
"FGFR3_641_653","P22607"
"INSR_1348_1360","P06213"
"INSR_992_1004","P06213"
"K2C8_425_437","P05787"
"K2C6B_53_65","P04259"
"CD3E_193_205","P07766"
"FES_706_718","P07332"
"CD70_9_21_C17S","P32970"
"CD3Z_146_158","P20963"
"MBP_259_271","P02686"
"MBP_263_275","P02686"
"MK01_180_192","P28482"
"MK01_198_210","P28482"
"MK07_212_224","Q13164"
"NTRK1_489_501","P04629"
"NTRK2_509_521","Q16620"
"ODPAT_291_303","P29803"
"PERI_458_470","P41219"
"TYK2_1048_1060","P29597"
"LAT_249_261","O43561"
"CDK2_8_20","P24941"
"CD3Z_116_128","P20963"
"MBP_198_210","P02686"
"PLCG1_1246_1258","P19174"
"PRGR_545_557","P06401"
"PP2AB_297_309","P62714"
"PTN11_539_551","Q06124"
"RBL2_99_111","Q08999"
"RET_680_692","P07949"
"RON_1346_1358","Q04912"
"STAT1_694_706","P42224"
"STAT3_698_710","P40763"
"ANXA2_17_29","P07355"
"LYN_391_403","P07948"
"EPHA2_765_777","P29317"
"JAK3_974_986","P52333"
"VGFR2_944_956","P35968"
"STAT4_686_698","Q14765"
"STAT4_714_726","Q14765"
"STA5A_687_699","P42229"
"STAT6_634_646","P42226"
"TNNT1_2_14","P13805"
"VGFR1_1046_1058_Y1048F","P17948"
"VGFR1_1049_1061","P17948"
"VGFR1_1162_1174","P17948"
"VGFR1_1206_1218","P17948"
"VISTA_260_270","Q9H7M9"
"FAK2_572_584","Q14289"
"KIT_930_942_C942S","P10721"
"CD28_203_215","P10747"
"MK08_181_191","P45983"
"VGFR2_1207_1219_C1208S","P35968"
"VGFR3_1061_1073","P35916"
"VINC_815_827","P18206"
"ZBT16_621_633","Q05516"
"AKT1_170_182","P31749"
"AKT1_309_321_C310S","P31749"
"CD28_185_197","P10747"
"CD3Z_147_159","P20963"
"ERBB3_1283_1295","P21860"
"VGFR2_1046_1058","P35968"
"CDK4_11_23","P11802"
"VGFR2_989_1001","P35968"
"NPT2A_501_513","Q06495"
"MK03_199_208","P27361"
"FYN_525_537","P06241"
"GAB2_638_648","Q9UQC2"
"GSK3B_210_222_C218S","P49841"
"JAK1_214_226","P23458"
"JAK2_1001_1013","O60674"
"LYN_501_512","P07948"
"MAPK3_198_210_C203S","Q16644"
"MET_1360_1370_C1361S","P08581"
"MK01_200_209","P28482"
"ARAF_297_307","P10398"
"ZAP70_485_497","P43403"
"PDPK1_2_14","O15530"
"FAK1_569_581","Q05397"
"AKT1_320_332","P31749"
"MK12_180_189_M182B","P53778"
"MK14_177_187","Q16539"
"PDCD1_221_229_FS219_220KK","Q15116"
"PLCG1_777_789","P19174"
"PLCG2_1211_1222_N1211K_N1212K","P16885"
"SHC1_309_321","P29353"
"SRC_524_536","P12931"
"TIE2_986_998","Q02763"
"VGFR1_1320_1332_C1320K/C1321K","P17948"
"STAT2_684_696","P52630"
"41_654_666","P11171"
"PAXI_24_36","P49023"
"EPOR_419_431","P19235"
"BTLA_252_262","Q7Z6A9"
"PGFRB_771_783","P09619"
"CTNB1_79_91","P35222"
"PGFRB_768_780","P09619"
"DCX_67_79","O43602"
"NTRK2_696_708","Q16620"
"DYR1A_312_324","Q13627"
"PTN11_541_551","Q06124"
"LAT_194_206","O43561"
"VGFR1_1040_1052","P17948"
"EGFR_1103_1115","P00533"
"CD3Z_135_147","P20963"
"PTN11_580_590","Q06124"
"MPZL1_235_246_H235K_Q236K","O95297"
"IRS1_890_902_P890K","P35568"
"VGFR2_1168_1180","P35968"
"FGFR1_761_773","P11362"
"LCK_387_399","P06239"
"JAK1_1027_1039","P23458"
"MET_1227_1239","P08581"
"YES_420_432","P07947"
"PGFRB_709_721","P09619"
"PRRX2_202_214","Q99811"
"NCF1_313_325","P14598"
"TYRO3_679_691","Q06418"
"ART_003_EAI(pY)AAPFAKKKXC","NA"
